Gene ID	source_id	sense - ring	sense - schizont	sense - troph	antisense - ring	antisense - schizont	antisense - troph	sense - Late Trophozoite	sense - Schizont	sense - Gametocyte II	sense - Gametocyte V	sense - asexual blood stages	sense - midgut oocysts	sense - salivary gland sporozoites	sense - 40-5 hours post-invasion	sense - 2-10 hours post-invasion	sense - 7-15 hours post-invasion	sense - 12-20 hours post-invasion	sense - 17-25 hours post-invasion	sense - 32-40 hours post-invasion	sense - 27-35 hours post-invasion	sense - 22-30 hours post-invasion	sense - T05	sense - T10	sense - T15	sense - T20	sense - T30	sense - T25	sense - T35	sense - T40
PF3D7_0417400	PF3D7_0417400.1	14.51	10.9	11.47	2.21	1.98	1.97	3.14	33.13	3.2	4.57	15.53	4.33	25.89	45.79	102.16	174.11	168.26	131.3	101.68	89.31	89.98	93.31	176.58	275.83	254.88	125.73	168.35	152.86	173.69
PF3D7_0417500	PF3D7_0417500.1	29.96	239.2	312.84	8.48	23.63	32.72	289.22	139.98	167.71	22.34	5.44	15.9	16.17	43.36	12.71	4.86	7.37	93.93	302.13	241.08	176.97	37.81	8.32	3.23	12.53	130.28	81.64	167.03	168.55
PF3D7_0417600	PF3D7_0417600.1	2.06	7.43	1.17	0.21	1.25	0.33	0.65	9.3	4.56	9.74	46.49	4.41	13.26	7.83	3.46	2.62	1.67	0.67	10.72	3.67	2.12	26.5	9.02	5.67	2.38	10.73	2.57	15.68	48.18
PF3D7_0417700	PF3D7_0417700.1	3.03	17.01	3.02	0	2.58	0.85	5.1	4.86	18.66	7.35	21.8	2.72	12.71	3.85	2.25	1.94	0.77	0.17	11.33	3.46	1.46	10.82	6.29	1.45	0.91	4.59	0.93	7.24	24.37
PF3D7_0417800	PF3D7_0417800.1	19.34	61.67	161.58	1.59	4.97	12.93	7.61	33.94	8.44	10.54	16.85	7.17	24.78	10.57	4.34	11.27	48.82	84.82	85.81	110.12	80.7	22.16	7.6	29.07	108.93	160.32	139.37	181.65	118.76
PF3D7_0417900	PF3D7_0417900.1	0.76	0.84	1.64	1.43	0	0.27	0.35	0.55	1.82	3.52	20.99	1.58	3.6	3.24	3.4	4.92	10.2	14.72	6.08	8.93	10.09	5.83	6	12.8	35.86	22.91	27.46	23.38	19.96
PF3D7_0418000	PF3D7_0418000.1	1.2	3.88	2.01	3.32	1.14	1.7	0.45	19.16	2.9	5.92	20.53	2.23	5.05	6.51	2.34	1.76	1.51	2.95	9.85	8.96	7.87	14.16	4.75	2.61	1.62	19.05	8.29	14.04	26.05
PF3D7_0418100	PF3D7_0418100.1	123.67	13.52	50.42	13.61	0.63	5.57	2	4.49	2.09	4.56	12.12	11.11	2.08	24.75	89.02	162.97	144.81	94.39	31.82	51.8	55.14	49	156.47	276.18	240.19	98.59	126.08	91.9	45.81
PF3D7_0418200	PF3D7_0418200.1	401.8	93.8	355.87	66.39	15.81	55.6	121.87	23.5	35.04	6.1	32.56	37.13	1.58	96.18	226.14	288.26	252.02	324.56	162.72	274.34	309.51	177.78	389.82	490.36	522.07	520.07	534.74	408.38	188.23
PF3D7_0418300	PF3D7_0418300.1	1046.15	754.75	507.97	314.18	201.37	143.84	9.53	417.1	13.14	16.42	15.52	9.37	25.98	1439.58	1520.86	1777.84	1471.15	863.1	723.37	507.51	604.58	1826.73	1998.78	2075.57	1500.86	561.32	850.73	840.86	1237.23
PF3D7_0418400	PF3D7_0418400.1	56.6	38.97	91.68	6.71	3.22	3.74	42.24	6.05	19.06	4.26	21.19	19.98	14.6	15.41	23.39	69.24	40.01	50.83	37.94	46.15	51.66	13.54	42.32	66.92	80.01	57.69	57.45	57.4	39.84
PF3D7_0418500	PF3D7_0418500.1	61.55	109.43	164.4	4.16	7.25	8.81	170.11	43.89	17.76	5.5	18.92	24.22	3.98	42.07	24.98	42.77	28.62	62.71	88.58	128.74	108.1	58.46	41.5	58.37	77.91	177.91	132.56	202.45	101.73
PF3D7_0418600	PF3D7_0418600.1	49.09	191.25	1.41	6.31	20.84	0.39	0.26	75.45	0.77	1.07	0.33	1.26	10.35	322.2	58.83	12.37	2.66	2.71	5.92	5.05	5.19	572.8	244.18	25.09	4.11	9.03	4.65	11.77	72.28
PF3D7_0418700	PF3D7_0418700.1	317.41	230.79	109.83	48.29	31.61	16.2	6.23	28.76	5.72	9.49	20.41	28.5	25.42	291.27	150.77	173.09	123.15	149.88	21.32	66.2	120.83	531.73	483.92	389.65	415.75	262.73	359.88	138.34	94.95
PF3D7_0418800	PF3D7_0418800.1	20.4	5.09	0	3.91	2.83	0.87	0.53	0	148.11	791.63	230.31	0	6.08	9.06	3.59	3.63	1.97	1.85	0.55	0.65	1.52	11.87	24.31	17.41	11.32	4.09	4.96	3.28	7.66
PF3D7_0418900	PF3D7_0418900.1	5.39	18.51	45.32	0	1.53	3.75	25.88	5.82	37.24	9.87	15.37	3.8	212.84	3.83	1.27	0.57	0.77	4.19	20.87	27.06	13.62	6.87	3.54	2.49	2.32	44.27	14.57	45.79	28.08
PF3D7_0419000	PF3D7_0419000.1	2.87	10.36	14.64	0	1.16	1.26	20.81	4.19	33.2	38.94	42.69	2.13	4.84	3.14	1.84	1.19	0.96	3.79	14.83	13.04	4.81	8.33	3.88	2.53	4.43	18.49	8.69	34.56	29.32
PF3D7_0419100	PF3D7_0419100.1	2.26	7.89	32.16	2.64	3.99	5.89	9	2.21	5.01	2.33	1.84	3.27	3.61	2.21	0.94	0.89	1.75	6.78	10.03	15.13	13.92	8.61	4.99	4.1	9.65	31.11	18.19	30.89	21.62
PF3D7_0419200	PF3D7_0419200.1	56.18	122.88	63.88	15.61	54.72	37.63	12.16	23.32	8.66	1.26	13.72	2.98	15.57	85.75	39.4	68.96	42.59	72.95	114.77	52.2	45.83	184.77	122.57	142.87	165.07	116.48	126.01	112.54	267.34
PF3D7_0419300	PF3D7_0419300.1	13.17	70.51	61.29	28.55	64	37.32	21.43	37	6.88	3.25	7.92	2.54	5.32	19.24	3.79	2.62	1.68	4.51	108.06	69.81	23.03	49.95	13.23	2.78	1.08	86.75	11.41	161.51	201.65
PF3D7_0419400	PF3D7_0419400.1	12.95	135.42	19.38	3.52	23.48	2.64	5.82	66.95	0.96	1.91	2.69	0.59	1.32	20.15	2.61	0.98	0.52	0.87	82.87	5.33	0.81	51.69	10.62	1.49	0.21	1.74	0.26	32.7	180.56
PF3D7_0419500	PF3D7_0419500.1	44.67	35.71	33.78	3.95	2.29	2.44	7.5	7.2	3.76	0.99	4.81	2.86	3.77	13.42	16.69	24.11	18.19	19.79	32.47	22.69	17.02	38.28	40.13	47.77	47.17	48.63	40.68	50.3	71.98
PF3D7_0419600	PF3D7_0419600.1	474.57	309.09	545.21	52.34	39.06	55.3	736.65	300.82	170.56	83.5	46.18	87.28	2.28	457.5	922.97	1022.76	918.58	671.45	725.11	786.32	739	738.84	1140.46	1429.24	1068.63	1176.12	1014.86	1446.05	1265.26
